,provinsi,daerah,jenis,tahun,peng,Cluster
0,ACEH,PERDESAAN,MAKANAN,2007,195176.0,Cluster 1
1,ACEH,PERDESAAN,MAKANAN,2008,218781.0,Cluster 1
2,ACEH,PERDESAAN,MAKANAN,2009,247427.0,Cluster 1
3,ACEH,PERDESAAN,MAKANAN,2010,275749.0,Cluster 1
4,ACEH,PERDESAAN,MAKANAN,2011,308000.0,Cluster 1
5,ACEH,PERDESAAN,MAKANAN,2012,326182.0,Cluster 1
6,ACEH,PERDESAAN,MAKANAN,2013,337761.0,Cluster 1
7,ACEH,PERDESAAN,MAKANAN,2014,368080.0,Cluster 1
8,ACEH,PERDESAAN,MAKANAN,2015,395136.0,Cluster 1
9,ACEH,PERDESAAN,MAKANAN,2016,412251.0,Cluster 1
10,ACEH,PERDESAAN,MAKANAN,2017,494150.0,Cluster 1
11,ACEH,PERDESAAN,MAKANAN,2018,506656.0,Cluster 1
12,ACEH,PERDESAAN,MAKANAN,2019,520759.0,Cluster 1
13,ACEH,PERDESAAN,MAKANAN,2020,566947.0,Cluster 1
14,ACEH,PERDESAAN,MAKANAN,2021,597940.0,Cluster 1
15,ACEH,PERDESAAN,MAKANAN,2022,633566.0,Cluster 1
16,ACEH,PERDESAAN,NONMAKANAN,2007,101285.0,Cluster 2
17,ACEH,PERDESAAN,NONMAKANAN,2008,112507.0,Cluster 2
18,ACEH,PERDESAAN,NONMAKANAN,2009,121818.0,Cluster 2
19,ACEH,PERDESAAN,NONMAKANAN,2010,139779.0,Cluster 2
20,ACEH,PERDESAAN,NONMAKANAN,2011,166699.0,Cluster 2
21,ACEH,PERDESAAN,NONMAKANAN,2012,166064.0,Cluster 2
22,ACEH,PERDESAAN,NONMAKANAN,2013,171013.0,Cluster 2
23,ACEH,PERDESAAN,NONMAKANAN,2014,195503.0,Cluster 2
24,ACEH,PERDESAAN,NONMAKANAN,2015,260183.0,Cluster 2
25,ACEH,PERDESAAN,NONMAKANAN,2016,272829.0,Cluster 2
26,ACEH,PERDESAAN,NONMAKANAN,2017,287004.0,Cluster 2
27,ACEH,PERDESAAN,NONMAKANAN,2018,331248.0,Cluster 2
28,ACEH,PERDESAAN,NONMAKANAN,2019,334915.0,Cluster 2
29,ACEH,PERDESAAN,NONMAKANAN,2020,378673.0,Cluster 2
30,ACEH,PERDESAAN,NONMAKANAN,2021,378673.0,Cluster 2
31,ACEH,PERDESAAN,NONMAKANAN,2022,406040.0,Cluster 2
48,ACEH,PERKOTAAN,MAKANAN,2007,226639.0,Cluster 3
49,ACEH,PERKOTAAN,MAKANAN,2008,258233.0,Cluster 3
50,ACEH,PERKOTAAN,MAKANAN,2009,315245.0,Cluster 3
51,ACEH,PERKOTAAN,MAKANAN,2010,341142.0,Cluster 3
52,ACEH,PERKOTAAN,MAKANAN,2011,383579.0,Cluster 3
53,ACEH,PERKOTAAN,MAKANAN,2012,432567.0,Cluster 3
54,ACEH,PERKOTAAN,MAKANAN,2013,458451.0,Cluster 3
55,ACEH,PERKOTAAN,MAKANAN,2014,505525.0,Cluster 3
56,ACEH,PERKOTAAN,MAKANAN,2015,466355.0,Cluster 3
57,ACEH,PERKOTAAN,MAKANAN,2016,548853.0,Cluster 3
58,ACEH,PERKOTAAN,MAKANAN,2017,610732.0,Cluster 3
59,ACEH,PERKOTAAN,MAKANAN,2018,637432.0,Cluster 3
60,ACEH,PERKOTAAN,MAKANAN,2019,639421.0,Cluster 3
61,ACEH,PERKOTAAN,MAKANAN,2020,655222.0,Cluster 3
62,ACEH,PERKOTAAN,MAKANAN,2021,734401.0,Cluster 3
63,ACEH,PERKOTAAN,MAKANAN,2022,736172.0,Cluster 3
64,ACEH,PERKOTAAN,NONMAKANAN,2007,210374.0,Cluster 4
65,ACEH,PERKOTAAN,NONMAKANAN,2008,249377.0,Cluster 4
66,ACEH,PERKOTAAN,NONMAKANAN,2009,256204.0,Cluster 4
67,ACEH,PERKOTAAN,NONMAKANAN,2010,307607.0,Cluster 4
68,ACEH,PERKOTAAN,NONMAKANAN,2011,373271.0,Cluster 4
69,ACEH,PERKOTAAN,NONMAKANAN,2012,385949.0,Cluster 4
70,ACEH,PERKOTAAN,NONMAKANAN,2013,470393.0,Cluster 4
71,ACEH,PERKOTAAN,NONMAKANAN,2014,470402.0,Cluster 4
72,ACEH,PERKOTAAN,NONMAKANAN,2015,529945.0,Cluster 4
73,ACEH,PERKOTAAN,NONMAKANAN,2016,559492.0,Cluster 4
74,ACEH,PERKOTAAN,NONMAKANAN,2017,576134.0,Cluster 4
75,ACEH,PERKOTAAN,NONMAKANAN,2018,633864.0,Cluster 4
76,ACEH,PERKOTAAN,NONMAKANAN,2019,640399.0,Cluster 4
77,ACEH,PERKOTAAN,NONMAKANAN,2020,704431.0,Cluster 4
78,ACEH,PERKOTAAN,NONMAKANAN,2021,724090.0,Cluster 4
79,ACEH,PERKOTAAN,NONMAKANAN,2022,716409.0,Cluster 4
96,ACEH,PERDESAANPERKOTAAN,MAKANAN,2011,329257.0,Cluster 5
97,ACEH,PERDESAANPERKOTAAN,MAKANAN,2012,356132.0,Cluster 5
98,ACEH,PERDESAANPERKOTAAN,MAKANAN,2013,371838.0,Cluster 5
99,ACEH,PERDESAANPERKOTAAN,MAKANAN,2014,406835.0,Cluster 5
100,ACEH,PERDESAANPERKOTAAN,MAKANAN,2015,415354.0,Cluster 5
101,ACEH,PERDESAANPERKOTAAN,MAKANAN,2016,451952.0,Cluster 5
102,ACEH,PERDESAANPERKOTAAN,MAKANAN,2017,529161.0,Cluster 5
103,ACEH,PERDESAANPERKOTAAN,MAKANAN,2018,547668.0,Cluster 5
104,ACEH,PERDESAANPERKOTAAN,MAKANAN,2019,559299.0,Cluster 5
105,ACEH,PERDESAANPERKOTAAN,MAKANAN,2020,595634.0,Cluster 5
106,ACEH,PERDESAANPERKOTAAN,MAKANAN,2021,643591.0,Cluster 5
107,ACEH,PERDESAANPERKOTAAN,MAKANAN,2022,668480.0,Cluster 5
108,ACEH,PERDESAANPERKOTAAN,NONMAKANAN,2011,224798.0,Cluster 6
109,ACEH,PERDESAANPERKOTAAN,NONMAKANAN,2012,227968.0,Cluster 6
110,ACEH,PERDESAANPERKOTAAN,NONMAKANAN,2013,255543.0,Cluster 6
111,ACEH,PERDESAANPERKOTAAN,NONMAKANAN,2014,273015.0,Cluster 6
112,ACEH,PERDESAANPERKOTAAN,NONMAKANAN,2015,336764.0,Cluster 6
113,ACEH,PERDESAANPERKOTAAN,NONMAKANAN,2016,356142.0,Cluster 6
114,ACEH,PERDESAANPERKOTAAN,NONMAKANAN,2017,373833.0,Cluster 6
115,ACEH,PERDESAANPERKOTAAN,NONMAKANAN,2018,426149.0,Cluster 6
116,ACEH,PERDESAANPERKOTAAN,NONMAKANAN,2019,434133.0,Cluster 6
117,ACEH,PERDESAANPERKOTAAN,NONMAKANAN,2020,484536.0,Cluster 6
118,ACEH,PERDESAANPERKOTAAN,NONMAKANAN,2021,494227.0,Cluster 6
119,ACEH,PERDESAANPERKOTAAN,NONMAKANAN,2022,511651.0,Cluster 6
132,SUMATERA UTARA,PERDESAAN,MAKANAN,2007,171299.0,Cluster 1
133,SUMATERA UTARA,PERDESAAN,MAKANAN,2008,198301.0,Cluster 1
134,SUMATERA UTARA,PERDESAAN,MAKANAN,2009,219171.0,Cluster 1
135,SUMATERA UTARA,PERDESAAN,MAKANAN,2010,248859.0,Cluster 1
136,SUMATERA UTARA,PERDESAAN,MAKANAN,2011,308555.0,Cluster 1
137,SUMATERA UTARA,PERDESAAN,MAKANAN,2012,340053.0,Cluster 1
138,SUMATERA UTARA,PERDESAAN,MAKANAN,2013,363252.0,Cluster 1
139,SUMATERA UTARA,PERDESAAN,MAKANAN,2014,382056.0,Cluster 1
140,SUMATERA UTARA,PERDESAAN,MAKANAN,2015,413087.0,Cluster 1
141,SUMATERA UTARA,PERDESAAN,MAKANAN,2016,450979.0,Cluster 1
142,SUMATERA UTARA,PERDESAAN,MAKANAN,2017,490603.0,Cluster 1
143,SUMATERA UTARA,PERDESAAN,MAKANAN,2018,519512.0,Cluster 1
144,SUMATERA UTARA,PERDESAAN,MAKANAN,2019,533737.0,Cluster 1
145,SUMATERA UTARA,PERDESAAN,MAKANAN,2020,544441.0,Cluster 1
146,SUMATERA UTARA,PERDESAAN,MAKANAN,2021,579669.0,Cluster 1
147,SUMATERA UTARA,PERDESAAN,MAKANAN,2022,631364.0,Cluster 1
148,SUMATERA UTARA,PERDESAAN,NONMAKANAN,2007,110453.0,Cluster 2
149,SUMATERA UTARA,PERDESAAN,NONMAKANAN,2008,119975.0,Cluster 2
150,SUMATERA UTARA,PERDESAAN,NONMAKANAN,2009,127622.0,Cluster 2
151,SUMATERA UTARA,PERDESAAN,NONMAKANAN,2010,150408.0,Cluster 2
152,SUMATERA UTARA,PERDESAAN,NONMAKANAN,2011,185619.0,Cluster 2
153,SUMATERA UTARA,PERDESAAN,NONMAKANAN,2012,194661.0,Cluster 2
154,SUMATERA UTARA,PERDESAAN,NONMAKANAN,2013,207533.0,Cluster 2
155,SUMATERA UTARA,PERDESAAN,NONMAKANAN,2014,222017.0,Cluster 2
156,SUMATERA UTARA,PERDESAAN,NONMAKANAN,2015,269407.0,Cluster 2
157,SUMATERA UTARA,PERDESAAN,NONMAKANAN,2016,287255.0,Cluster 2
158,SUMATERA UTARA,PERDESAAN,NONMAKANAN,2017,278114.0,Cluster 2
159,SUMATERA UTARA,PERDESAAN,NONMAKANAN,2018,337487.0,Cluster 2
160,SUMATERA UTARA,PERDESAAN,NONMAKANAN,2019,369051.0,Cluster 2
161,SUMATERA UTARA,PERDESAAN,NONMAKANAN,2020,390593.0,Cluster 2
162,SUMATERA UTARA,PERDESAAN,NONMAKANAN,2021,383019.0,Cluster 2
163,SUMATERA UTARA,PERDESAAN,NONMAKANAN,2022,404273.0,Cluster 2
180,SUMATERA UTARA,PERKOTAAN,MAKANAN,2007,207606.0,Cluster 3
181,SUMATERA UTARA,PERKOTAAN,MAKANAN,2008,227521.0,Cluster 3
182,SUMATERA UTARA,PERKOTAAN,MAKANAN,2009,257661.0,Cluster 3
183,SUMATERA UTARA,PERKOTAAN,MAKANAN,2010,288594.0,Cluster 3
184,SUMATERA UTARA,PERKOTAAN,MAKANAN,2011,324392.0,Cluster 3
185,SUMATERA UTARA,PERKOTAAN,MAKANAN,2012,349032.0,Cluster 3
186,SUMATERA UTARA,PERKOTAAN,MAKANAN,2013,363478.0,Cluster 3
187,SUMATERA UTARA,PERKOTAAN,MAKANAN,2014,416319.0,Cluster 3
188,SUMATERA UTARA,PERKOTAAN,MAKANAN,2015,416073.0,Cluster 3
189,SUMATERA UTARA,PERKOTAAN,MAKANAN,2016,493141.0,Cluster 3
190,SUMATERA UTARA,PERKOTAAN,MAKANAN,2017,553690.0,Cluster 3
191,SUMATERA UTARA,PERKOTAAN,MAKANAN,2018,586199.0,Cluster 3
192,SUMATERA UTARA,PERKOTAAN,MAKANAN,2019,612136.0,Cluster 3
193,SUMATERA UTARA,PERKOTAAN,MAKANAN,2020,643456.0,Cluster 3
194,SUMATERA UTARA,PERKOTAAN,MAKANAN,2021,630458.0,Cluster 3
195,SUMATERA UTARA,PERKOTAAN,MAKANAN,2022,689463.0,Cluster 3
196,SUMATERA UTARA,PERKOTAAN,NONMAKANAN,2007,225606.0,Cluster 4
197,SUMATERA UTARA,PERKOTAAN,NONMAKANAN,2008,250148.0,Cluster 4
198,SUMATERA UTARA,PERKOTAAN,NONMAKANAN,2009,274781.0,Cluster 4
199,SUMATERA UTARA,PERKOTAAN,NONMAKANAN,2010,328487.0,Cluster 4
200,SUMATERA UTARA,PERKOTAAN,NONMAKANAN,2011,312932.0,Cluster 4
201,SUMATERA UTARA,PERKOTAAN,NONMAKANAN,2012,316579.0,Cluster 4
202,SUMATERA UTARA,PERKOTAAN,NONMAKANAN,2013,380777.0,Cluster 4
203,SUMATERA UTARA,PERKOTAAN,NONMAKANAN,2014,381027.0,Cluster 4
204,SUMATERA UTARA,PERKOTAAN,NONMAKANAN,2015,453609.0,Cluster 4
205,SUMATERA UTARA,PERKOTAAN,NONMAKANAN,2016,474404.0,Cluster 4
206,SUMATERA UTARA,PERKOTAAN,NONMAKANAN,2017,491793.0,Cluster 4
207,SUMATERA UTARA,PERKOTAAN,NONMAKANAN,2018,544628.0,Cluster 4
208,SUMATERA UTARA,PERKOTAAN,NONMAKANAN,2019,587371.0,Cluster 4
209,SUMATERA UTARA,PERKOTAAN,NONMAKANAN,2020,639799.0,Cluster 4
210,SUMATERA UTARA,PERKOTAAN,NONMAKANAN,2021,657135.0,Cluster 4
211,SUMATERA UTARA,PERKOTAAN,NONMAKANAN,2022,668871.0,Cluster 4
228,SUMATERA UTARA,PERDESAANPERKOTAAN,MAKANAN,2011,316343.0,Cluster 5
229,SUMATERA UTARA,PERDESAANPERKOTAAN,MAKANAN,2012,344467.0,Cluster 5
230,SUMATERA UTARA,PERDESAANPERKOTAAN,MAKANAN,2013,363363.0,Cluster 5
231,SUMATERA UTARA,PERDESAANPERKOTAAN,MAKANAN,2014,398932.0,Cluster 5
232,SUMATERA UTARA,PERDESAANPERKOTAAN,MAKANAN,2015,414566.0,Cluster 5
233,SUMATERA UTARA,PERDESAANPERKOTAAN,MAKANAN,2016,472220.0,Cluster 5
234,SUMATERA UTARA,PERDESAANPERKOTAAN,MAKANAN,2017,522766.0,Cluster 5
235,SUMATERA UTARA,PERDESAANPERKOTAAN,MAKANAN,2018,554754.0,Cluster 5
236,SUMATERA UTARA,PERDESAANPERKOTAAN,MAKANAN,2019,576322.0,Cluster 5
237,SUMATERA UTARA,PERDESAANPERKOTAAN,MAKANAN,2020,598244.0,Cluster 5
238,SUMATERA UTARA,PERDESAANPERKOTAAN,MAKANAN,2021,607811.0,Cluster 5
239,SUMATERA UTARA,PERDESAANPERKOTAAN,MAKANAN,2022,663926.0,Cluster 5
240,SUMATERA UTARA,PERDESAANPERKOTAAN,NONMAKANAN,2011,248222.0,Cluster 6
241,SUMATERA UTARA,PERDESAANPERKOTAAN,NONMAKANAN,2012,254593.0,Cluster 6
242,SUMATERA UTARA,PERDESAANPERKOTAAN,NONMAKANAN,2013,292770.0,Cluster 6
243,SUMATERA UTARA,PERDESAANPERKOTAAN,NONMAKANAN,2014,300335.0,Cluster 6
244,SUMATERA UTARA,PERDESAANPERKOTAAN,NONMAKANAN,2015,360624.0,Cluster 6
245,SUMATERA UTARA,PERDESAANPERKOTAAN,NONMAKANAN,2016,381537.0,Cluster 6
246,SUMATERA UTARA,PERDESAANPERKOTAAN,NONMAKANAN,2017,387051.0,Cluster 6
247,SUMATERA UTARA,PERDESAANPERKOTAAN,NONMAKANAN,2018,446955.0,Cluster 6
